user_id,sub_id,cost,start_date,recurring_length,alert_id,sort_group,user_notes,cancelled,rating
4,23,16,2021-5-20,monthly,1,games,This is a note for user 4 subscription 5.,False,1
4,24,18,2021-2-1,monthly,1,games,This is a note for user 4 subscription 6.,False,3
4,25,19,2021-3-10,monthly,1,games,This is a note for user 4 subscription 7.,False,3
4,28,11,2021-9-14,monthly,1,games,This is a note for user 4 subscription 8.,False,3
5,32,1,2021-5-19,monthly,1,books,This is a note for user 5 subscription 1.,False,5
5,34,8,2021-9-23,monthly,1,books,This is a note for user 5 subscription 2.,False,5
5,35,15,2021-2-20,monthly,1,books,This is a note for user 5 subscription 3.,False,5
5,2,15,2021-7-20,monthly,1,tv and movies,This is a note for user 5 subscription 4.,False,5
5,39,6,2021-4-28,monthly,1,food,This is a note for user 5 subscription 5.,False,3
5,15,8,2021-12-23,monthly,1,music,This is a note for user 5 subscription 6.,False,5
5,28,1,2021-6-4,monthly,1,games,This is a note for user 5 subscription 7.,False,4
6,21,15,2021-6-7,monthly,1,games,This is a note for user 6 subscription 1.,False,4
7,24,8,2021-9-6,monthly,1,games,This is a note for user 7 subscription 1.,False,4
7,2,13,2021-11-25,monthly,1,tv and movies,This is a note for user 7 subscription 2.,False,3
7,15,14,2021-8-9,monthly,1,music,This is a note for user 7 subscription 3.,False,5
8,9,11,2021-1-9,monthly,1,tv and movies,This is a note for user 8 subscription 1.,False,4
8,38,3,2021-2-23,monthly,1,food,This is a note for user 8 subscription 2.,False,3
9,37,17,2021-1-18,monthly,1,food,This is a note for user 9 subscription 1.,False,3
9,10,20,2021-5-20,monthly,1,tv and movies,This is a note for user 9 subscription 2.,False,3
9,14,15,2021-8-13,monthly,1,music,This is a note for user 9 subscription 3.,False,4
9,17,16,2021-6-13,monthly,1,music,This is a note for user 9 subscription 4.,False,3
9,24,20,2021-11-24,monthly,1,games,This is a note for user 9 subscription 5.,False,2
10,5,13,2021-7-5,monthly,1,tv and movies,This is a note for user 10 subscription 1.,False,4
10,19,5,2021-11-26,monthly,1,music,This is a note for user 10 subscription 2.,False,3
10,22,7,2021-9-10,monthly,1,games,This is a note for user 10 subscription 3.,False,5
10,23,11,2021-2-7,monthly,1,games,This is a note for user 10 subscription 4.,False,4
10,25,7,2021-12-20,monthly,1,games,This is a note for user 10 subscription 5.,False,4
11,2,1,2021-4-22,monthly,1,tv and movies,This is a note for user 11 subscription 1.,False,5
11,5,6,2021-11-18,monthly,1,tv and movies,This is a note for user 11 subscription 2.,False,4
11,18,10,2021-2-11,monthly,1,music,This is a note for user 11 subscription 3.,False,4
11,24,8,2021-3-4,monthly,1,games,This is a note for user 11 subscription 4.,False,3
11,28,13,2021-9-8,monthly,1,games,This is a note for user 11 subscription 5.,False,4
11,29,15,2021-8-19,monthly,1,games,This is a note for user 11 subscription 6.,False,4
11,30,12,2021-11-10,monthly,1,games,This is a note for user 11 subscription 7.,False,3
12,33,11,2021-12-25,monthly,1,books,This is a note for user 12 subscription 1.,False,4
12,29,11,2021-7-28,monthly,1,games,This is a note for user 12 subscription 2.,False,3
13,40,4,2021-3-5,monthly,1,food,This is a note for user 13 subscription 1.,False,2
13,36,6,2021-2-5,monthly,1,food,This is a note for user 13 subscription 2.,False,3
13,21,2,2021-4-23,monthly,1,games,This is a note for user 13 subscription 3.,False,4
13,23,4,2021-10-13,monthly,1,games,This is a note for user 13 subscription 4.,False,2
14,24,10,2021-8-4,monthly,1,games,This is a note for user 14 subscription 1.,False,3
14,19,1,2021-11-21,monthly,1,music,This is a note for user 14 subscription 2.,False,5
14,28,16,2021-8-18,monthly,1,games,This is a note for user 14 subscription 3.,False,3
14,5,3,2021-12-1,monthly,1,tv and movies,This is a note for user 14 subscription 4.,False,4
15,25,7,2021-11-8,monthly,1,games,This is a note for user 15 subscription 1.,False,3
15,18,7,2021-4-21,monthly,1,music,This is a note for user 15 subscription 2.,False,5
16,28,13,2021-5-24,monthly,1,games,This is a note for user 16 subscription 1.,False,3
17,8,8,2021-8-16,monthly,1,tv and movies,This is a note for user 17 subscription 1.,False,3
17,26,14,2021-9-7,monthly,1,games,This is a note for user 17 subscription 2.,False,1
17,31,2,2021-5-10,monthly,1,books,This is a note for user 17 subscription 3.,False,5
18,34,3,2021-7-26,monthly,1,books,This is a note for user 18 subscription 1.,False,4
18,37,6,2021-10-14,monthly,1,food,This is a note for user 18 subscription 2.,False,5
18,9,18,2021-12-4,monthly,1,tv and movies,This is a note for user 18 subscription 3.,False,5
18,14,5,2021-3-4,monthly,1,music,This is a note for user 18 subscription 4.,False,3
18,18,16,2021-2-11,monthly,1,music,This is a note for user 18 subscription 5.,False,2
18,19,18,2021-1-7,monthly,1,music,This is a note for user 18 subscription 6.,False,4
18,20,14,2021-8-21,monthly,1,music,This is a note for user 18 subscription 7.,False,3
18,22,17,2021-6-26,monthly,1,games,This is a note for user 18 subscription 8.,False,4
19,11,20,2021-12-24,monthly,1,music,This is a note for user 19 subscription 1.,False,5
19,16,3,2021-6-9,monthly,1,music,This is a note for user 19 subscription 2.,False,5
19,21,1,2021-3-16,monthly,1,games,This is a note for user 19 subscription 3.,False,4
19,22,13,2021-12-13,monthly,1,games,This is a note for user 19 subscription 4.,False,3
19,24,8,2021-10-7,monthly,1,games,This is a note for user 19 subscription 5.,False,1
19,25,10,2021-3-22,monthly,1,games,This is a note for user 19 subscription 6.,False,4
19,27,20,2021-7-26,monthly,1,games,This is a note for user 19 subscription 7.,False,2
19,29,8,2021-12-14,monthly,1,games,This is a note for user 19 subscription 8.,False,2
20,16,14,2021-3-26,monthly,1,music,This is a note for user 20 subscription 1.,False,3
20,40,1,2021-7-20,monthly,1,food,This is a note for user 20 subscription 2.,False,2
20,38,2,2021-12-16,monthly,1,food,This is a note for user 20 subscription 3.,False,5
20,39,1,2021-5-1,monthly,1,food,This is a note for user 20 subscription 4.,False,4
21,19,10,2021-1-14,monthly,1,music,This is a note for user 21 subscription 1.,False,5
21,37,1,2021-12-26,monthly,1,food,This is a note for user 21 subscription 2.,False,3
22,3,10,2021-9-19,monthly,1,tv and movies,This is a note for user 22 subscription 1.,False,4
22,36,10,2021-7-11,monthly,1,food,This is a note for user 22 subscription 2.,False,4
22,39,12,2021-7-13,monthly,1,food,This is a note for user 22 subscription 3.,False,5
22,40,17,2021-6-7,monthly,1,food,This is a note for user 22 subscription 4.,False,5
22,15,8,2021-12-9,monthly,1,music,This is a note for user 22 subscription 5.,False,2
22,18,14,2021-9-20,monthly,1,music,This is a note for user 22 subscription 6.,False,3
23,8,5,2021-9-5,monthly,1,tv and movies,This is a note for user 23 subscription 1.,False,5
23,37,7,2021-5-15,monthly,1,food,This is a note for user 23 subscription 2.,False,3
24,35,13,2021-3-8,monthly,1,books,This is a note for user 24 subscription 1.,False,3
24,4,11,2021-11-3,monthly,1,tv and movies,This is a note for user 24 subscription 2.,False,2
24,36,20,2021-8-19,monthly,1,food,This is a note for user 24 subscription 3.,False,4
24,37,14,2021-5-22,monthly,1,food,This is a note for user 24 subscription 4.,False,3
24,38,18,2021-7-13,monthly,1,food,This is a note for user 24 subscription 5.,False,3
24,39,12,2021-11-24,monthly,1,food,This is a note for user 24 subscription 6.,False,4
24,8,17,2021-3-12,monthly,1,tv and movies,This is a note for user 24 subscription 7.,False,5
24,29,9,2021-11-7,monthly,1,games,This is a note for user 24 subscription 8.,False,4
25,12,3,2021-1-24,monthly,1,music,This is a note for user 25 subscription 1.,False,3
25,13,15,2021-12-7,monthly,1,music,This is a note for user 25 subscription 2.,False,4
25,14,11,2021-6-28,monthly,1,music,This is a note for user 25 subscription 3.,False,2
25,15,2,2021-10-2,monthly,1,music,This is a note for user 25 subscription 4.,False,2
26,6,9,2021-10-2,monthly,1,tv and movies,This is a note for user 26 subscription 1.,False,4
27,25,15,2021-10-1,monthly,1,games,This is a note for user 27 subscription 1.,False,2
27,19,11,2021-3-3,monthly,1,music,This is a note for user 27 subscription 2.,False,5
27,12,9,2021-10-20,monthly,1,music,This is a note for user 27 subscription 3.,False,2
27,15,9,2021-9-14,monthly,1,music,This is a note for user 27 subscription 4.,False,2
28,32,17,2021-6-27,monthly,1,books,This is a note for user 28 subscription 1.,False,3
28,34,12,2021-9-4,monthly,1,books,This is a note for user 28 subscription 2.,False,4
28,35,8,2021-10-4,monthly,1,books,This is a note for user 28 subscription 3.,False,5
28,3,12,2021-4-24,monthly,1,tv and movies,This is a note for user 28 subscription 4.,False,5
28,2,16,2021-6-2,monthly,1,tv and movies,This is a note for user 28 subscription 5.,False,2
28,37,8,2021-2-14,monthly,1,food,This is a note for user 28 subscription 6.,False,3
28,18,3,2021-12-7,monthly,1,music,This is a note for user 28 subscription 7.,False,4
28,31,13,2021-9-13,monthly,1,books,This is a note for user 28 subscription 8.,False,3
29,36,16,2021-6-21,monthly,1,food,This is a note for user 29 subscription 1.,False,4
29,13,11,2021-11-20,monthly,1,music,This is a note for user 29 subscription 2.,False,4
29,23,13,2021-2-12,monthly,1,games,This is a note for user 29 subscription 3.,False,4
29,25,9,2021-5-9,monthly,1,games,This is a note for user 29 subscription 4.,False,3
29,27,10,2021-7-4,monthly,1,games,This is a note for user 29 subscription 5.,False,2
29,29,3,2021-3-11,monthly,1,games,This is a note for user 29 subscription 6.,False,5
30,16,2,2021-7-21,monthly,1,music,This is a note for user 30 subscription 1.,False,4
30,20,15,2021-7-22,monthly,1,music,This is a note for user 30 subscription 2.,False,5
31,38,4,2021-6-25,monthly,1,food,This is a note for user 31 subscription 1.,False,1
32,32,2,2021-5-14,monthly,1,books,This is a note for user 32 subscription 1.,False,4
32,33,10,2021-2-26,monthly,1,books,This is a note for user 32 subscription 2.,False,5
32,9,8,2021-2-6,monthly,1,tv and movies,This is a note for user 32 subscription 3.,False,3
32,11,10,2021-2-21,monthly,1,music,This is a note for user 32 subscription 4.,False,4
32,15,3,2021-7-25,monthly,1,music,This is a note for user 32 subscription 5.,False,3
32,16,9,2021-9-24,monthly,1,music,This is a note for user 32 subscription 6.,False,1
32,31,20,2021-5-3,monthly,1,books,This is a note for user 32 subscription 7.,False,4
33,40,5,2021-12-7,monthly,1,food,This is a note for user 33 subscription 1.,False,3
33,33,3,2021-11-10,monthly,1,books,This is a note for user 33 subscription 2.,False,3
33,37,19,2021-11-16,monthly,1,food,This is a note for user 33 subscription 3.,False,5
33,39,7,2021-5-24,monthly,1,food,This is a note for user 33 subscription 4.,False,5
34,3,20,2021-3-23,monthly,1,tv and movies,This is a note for user 34 subscription 1.,False,5
34,5,5,2021-8-18,monthly,1,tv and movies,This is a note for user 34 subscription 2.,False,4
34,7,12,2021-9-26,monthly,1,tv and movies,This is a note for user 34 subscription 3.,False,4
34,10,14,2021-4-15,monthly,1,tv and movies,This is a note for user 34 subscription 4.,False,5
34,12,19,2021-5-1,monthly,1,music,This is a note for user 34 subscription 5.,False,2
34,24,7,2021-1-12,monthly,1,games,This is a note for user 34 subscription 6.,False,3
34,28,5,2021-1-15,monthly,1,games,This is a note for user 34 subscription 7.,False,5
35,33,11,2021-10-16,monthly,1,books,This is a note for user 35 subscription 1.,False,5
35,35,6,2021-12-8,monthly,1,books,This is a note for user 35 subscription 2.,False,4
35,12,7,2021-11-25,monthly,1,music,This is a note for user 35 subscription 3.,False,3
35,20,2,2021-8-14,monthly,1,music,This is a note for user 35 subscription 4.,False,3
35,21,1,2021-3-23,monthly,1,games,This is a note for user 35 subscription 5.,False,5
36,2,12,2021-9-16,monthly,1,tv and movies,This is a note for user 36 subscription 1.,False,3
36,3,17,2021-5-8,monthly,1,tv and movies,This is a note for user 36 subscription 2.,False,4
36,4,11,2021-7-4,monthly,1,tv and movies,This is a note for user 36 subscription 3.,False,4
36,7,12,2021-4-7,monthly,1,tv and movies,This is a note for user 36 subscription 4.,False,3
36,11,13,2021-8-3,monthly,1,music,This is a note for user 36 subscription 5.,False,3
36,19,5,2021-9-21,monthly,1,music,This is a note for user 36 subscription 6.,False,3
36,28,10,2021-6-14,monthly,1,games,This is a note for user 36 subscription 7.,False,2
37,32,2,2021-12-25,monthly,1,books,This is a note for user 37 subscription 1.,False,4
37,33,7,2021-11-22,monthly,1,books,This is a note for user 37 subscription 2.,False,4
37,7,19,2021-11-20,monthly,1,tv and movies,This is a note for user 37 subscription 3.,False,4
37,31,17,2021-1-2,monthly,1,books,This is a note for user 37 subscription 4.,False,5
38,5,3,2021-12-11,monthly,1,tv and movies,This is a note for user 38 subscription 1.,False,5
38,6,14,2021-12-12,monthly,1,tv and movies,This is a note for user 38 subscription 2.,False,3
38,7,5,2021-5-7,monthly,1,tv and movies,This is a note for user 38 subscription 3.,False,3
38,40,8,2021-9-9,monthly,1,food,This is a note for user 38 subscription 4.,False,4
38,18,9,2021-1-11,monthly,1,music,This is a note for user 38 subscription 5.,False,5
38,21,2,2021-5-26,monthly,1,games,This is a note for user 38 subscription 6.,False,2
39,26,7,2021-12-6,monthly,1,games,This is a note for user 39 subscription 1.,False,2
39,15,17,2021-5-26,monthly,1,music,This is a note for user 39 subscription 2.,False,4
39,22,3,2021-8-4,monthly,1,games,This is a note for user 39 subscription 3.,False,3
39,31,3,2021-7-14,monthly,1,books,This is a note for user 39 subscription 4.,False,5
40,40,9,2021-11-21,monthly,1,food,This is a note for user 40 subscription 1.,False,4
40,15,1,2021-1-26,monthly,1,music,This is a note for user 40 subscription 2.,False,5
41,33,3,2021-12-5,monthly,1,books,This is a note for user 41 subscription 1.,False,1
41,39,16,2021-1-6,monthly,1,food,This is a note for user 41 subscription 2.,False,5
41,9,6,2021-3-28,monthly,1,tv and movies,This is a note for user 41 subscription 3.,False,5
41,13,2,2021-6-14,monthly,1,music,This is a note for user 41 subscription 4.,False,4
41,14,3,2021-11-19,monthly,1,music,This is a note for user 41 subscription 5.,False,5
41,16,20,2021-10-11,monthly,1,music,This is a note for user 41 subscription 6.,False,2
41,17,19,2021-12-17,monthly,1,music,This is a note for user 41 subscription 7.,False,5
41,19,2,2021-10-24,monthly,1,music,This is a note for user 41 subscription 8.,False,2
42,32,1,2021-6-22,monthly,1,books,This is a note for user 42 subscription 1.,False,4
42,34,18,2021-11-11,monthly,1,books,This is a note for user 42 subscription 2.,False,5
42,27,15,2021-10-21,monthly,1,games,This is a note for user 42 subscription 3.,False,4
42,5,3,2021-3-6,monthly,1,tv and movies,This is a note for user 42 subscription 4.,False,4
43,32,17,2021-8-5,monthly,1,books,This is a note for user 43 subscription 1.,False,4
43,33,5,2021-4-15,monthly,1,books,This is a note for user 43 subscription 2.,False,4
43,34,5,2021-8-7,monthly,1,books,This is a note for user 43 subscription 3.,False,5
43,5,13,2021-8-14,monthly,1,tv and movies,This is a note for user 43 subscription 4.,False,4
43,39,17,2021-12-3,monthly,1,food,This is a note for user 43 subscription 5.,False,5
43,9,6,2021-4-13,monthly,1,tv and movies,This is a note for user 43 subscription 6.,False,4
43,31,16,2021-10-12,monthly,1,books,This is a note for user 43 subscription 7.,False,4
44,36,3,2021-11-10,monthly,1,food,This is a note for user 44 subscription 1.,False,3
44,37,7,2021-7-17,monthly,1,food,This is a note for user 44 subscription 2.,False,2
44,39,15,2021-7-20,monthly,1,food,This is a note for user 44 subscription 3.,False,5
44,40,7,2021-10-17,monthly,1,food,This is a note for user 44 subscription 4.,False,4
44,7,20,2021-12-15,monthly,1,tv and movies,This is a note for user 44 subscription 5.,False,4
44,10,7,2021-4-25,monthly,1,tv and movies,This is a note for user 44 subscription 6.,False,4
44,22,11,2021-1-9,monthly,1,games,This is a note for user 44 subscription 7.,False,5
44,24,12,2021-1-14,monthly,1,games,This is a note for user 44 subscription 8.,False,5
45,33,5,2021-2-5,monthly,1,books,This is a note for user 45 subscription 1.,False,3
45,37,14,2021-1-20,monthly,1,food,This is a note for user 45 subscription 2.,False,2
45,38,9,2021-4-20,monthly,1,food,This is a note for user 45 subscription 3.,False,4
45,10,19,2021-11-17,monthly,1,tv and movies,This is a note for user 45 subscription 4.,False,2
45,20,11,2021-8-22,monthly,1,music,This is a note for user 45 subscription 5.,False,5
46,18,10,2021-6-25,monthly,1,music,This is a note for user 46 subscription 1.,False,3
46,34,12,2021-7-25,monthly,1,books,This is a note for user 46 subscription 2.,False,3
46,29,2,2021-3-25,monthly,1,games,This is a note for user 46 subscription 3.,False,3
47,33,13,2021-11-23,monthly,1,books,This is a note for user 47 subscription 1.,False,5
47,34,20,2021-1-21,monthly,1,books,This is a note for user 47 subscription 2.,False,3
47,35,1,2021-6-20,monthly,1,books,This is a note for user 47 subscription 3.,False,5
47,40,4,2021-9-24,monthly,1,food,This is a note for user 47 subscription 4.,False,4
47,19,18,2021-3-16,monthly,1,music,This is a note for user 47 subscription 5.,False,5
47,20,7,2021-7-10,monthly,1,music,This is a note for user 47 subscription 6.,False,4
47,27,4,2021-2-11,monthly,1,games,This is a note for user 47 subscription 7.,False,3
47,31,11,2021-4-6,monthly,1,books,This is a note for user 47 subscription 8.,False,3
48,38,13,2021-2-8,monthly,1,food,This is a note for user 48 subscription 1.,False,4
48,14,9,2021-6-16,monthly,1,music,This is a note for user 48 subscription 2.,False,5
49,34,14,2021-11-5,monthly,1,books,This is a note for user 49 subscription 1.,False,5
49,3,11,2021-5-15,monthly,1,tv and movies,This is a note for user 49 subscription 2.,False,2
49,36,12,2021-7-9,monthly,1,food,This is a note for user 49 subscription 3.,False,5
49,38,15,2021-8-1,monthly,1,food,This is a note for user 49 subscription 4.,False,4
49,39,14,2021-1-17,monthly,1,food,This is a note for user 49 subscription 5.,False,5
49,8,16,2021-9-9,monthly,1,tv and movies,This is a note for user 49 subscription 6.,False,3
50,36,11,2021-8-22,monthly,1,food,This is a note for user 50 subscription 1.,False,4
50,21,8,2021-8-5,monthly,1,games,This is a note for user 50 subscription 2.,False,4
51,24,15,2021-10-28,monthly,1,games,This is a note for user 51 subscription 1.,False,3
51,25,13,2021-2-8,monthly,1,games,This is a note for user 51 subscription 2.,False,4
51,20,17,2021-1-15,monthly,1,music,This is a note for user 51 subscription 3.,False,3
51,14,1,2021-5-7,monthly,1,music,This is a note for user 51 subscription 4.,False,5
52,3,4,2021-9-14,monthly,1,tv and movies,This is a note for user 52 subscription 1.,False,3
52,37,2,2021-9-21,monthly,1,food,This is a note for user 52 subscription 2.,False,3
52,11,4,2021-5-23,monthly,1,music,This is a note for user 52 subscription 3.,False,4
52,25,15,2021-10-4,monthly,1,games,This is a note for user 52 subscription 4.,False,5
52,27,18,2021-5-16,monthly,1,games,This is a note for user 52 subscription 5.,False,4
52,30,14,2021-12-5,monthly,1,games,This is a note for user 52 subscription 6.,False,4
53,1,16,2021-2-19,monthly,1,tv and movies,This is a note for user 53 subscription 1.,False,5
53,40,7,2021-6-16,monthly,1,food,This is a note for user 53 subscription 2.,False,2
53,21,12,2021-1-23,monthly,1,games,This is a note for user 53 subscription 3.,False,5
53,25,1,2021-2-12,monthly,1,games,This is a note for user 53 subscription 4.,False,4
53,27,4,2021-4-27,monthly,1,games,This is a note for user 53 subscription 5.,False,3
54,3,8,2021-3-7,monthly,1,tv and movies,This is a note for user 54 subscription 1.,False,5
54,12,20,2021-3-26,monthly,1,music,This is a note for user 54 subscription 2.,False,4
54,13,7,2021-10-13,monthly,1,music,This is a note for user 54 subscription 3.,False,4
54,25,13,2021-6-20,monthly,1,games,This is a note for user 54 subscription 4.,False,5
54,26,12,2021-5-5,monthly,1,games,This is a note for user 54 subscription 5.,False,2
55,32,8,2021-11-18,monthly,1,books,This is a note for user 55 subscription 1.,False,2
55,7,10,2021-7-17,monthly,1,tv and movies,This is a note for user 55 subscription 2.,False,4
55,29,9,2021-7-6,monthly,1,games,This is a note for user 55 subscription 3.,False,5
55,31,2,2021-7-8,monthly,1,books,This is a note for user 55 subscription 4.,False,3
56,36,3,2021-4-11,monthly,1,food,This is a note for user 56 subscription 1.,False,4
56,10,20,2021-1-16,monthly,1,tv and movies,This is a note for user 56 subscription 2.,False,3
56,14,13,2021-7-16,monthly,1,music,This is a note for user 56 subscription 3.,False,2
56,22,19,2021-8-4,monthly,1,games,This is a note for user 56 subscription 4.,False,5
56,24,12,2021-7-20,monthly,1,games,This is a note for user 56 subscription 5.,False,5
56,29,16,2021-2-26,monthly,1,games,This is a note for user 56 subscription 6.,False,5
57,32,6,2021-10-26,monthly,1,books,This is a note for user 57 subscription 1.,False,3
57,18,13,2021-10-7,monthly,1,music,This is a note for user 57 subscription 2.,False,3
57,19,5,2021-12-23,monthly,1,music,This is a note for user 57 subscription 3.,False,4
57,20,2,2021-4-7,monthly,1,music,This is a note for user 57 subscription 4.,False,4
57,23,16,2021-8-1,monthly,1,games,This is a note for user 57 subscription 5.,False,5
57,27,12,2021-1-9,monthly,1,games,This is a note for user 57 subscription 6.,False,5
58,32,4,2021-2-27,monthly,1,books,This is a note for user 58 subscription 1.,False,4
58,9,1,2021-10-22,monthly,1,tv and movies,This is a note for user 58 subscription 2.,False,3
58,34,13,2021-5-20,monthly,1,books,This is a note for user 58 subscription 3.,False,5
58,1,15,2021-6-3,monthly,1,tv and movies,This is a note for user 58 subscription 4.,False,5
59,27,19,2021-10-16,monthly,1,games,This is a note for user 59 subscription 1.,False,4
59,20,12,2021-8-3,monthly,1,music,This is a note for user 59 subscription 2.,False,3
59,31,1,2021-7-20,monthly,1,books,This is a note for user 59 subscription 3.,False,5
60,11,1,2021-5-19,monthly,1,music,This is a note for user 60 subscription 1.,False,3
60,16,17,2021-3-10,monthly,1,music,This is a note for user 60 subscription 2.,False,3
60,18,7,2021-8-14,monthly,1,music,This is a note for user 60 subscription 3.,False,4
60,19,10,2021-10-22,monthly,1,music,This is a note for user 60 subscription 4.,False,4
60,23,5,2021-7-18,monthly,1,games,This is a note for user 60 subscription 5.,False,3
60,30,19,2021-2-3,monthly,1,games,This is a note for user 60 subscription 6.,False,4
61,37,18,2021-6-26,monthly,1,food,This is a note for user 61 subscription 1.,False,4
61,38,19,2021-6-17,monthly,1,food,This is a note for user 61 subscription 2.,False,4
61,17,18,2021-2-20,monthly,1,music,This is a note for user 61 subscription 3.,False,5
61,23,15,2021-9-26,monthly,1,games,This is a note for user 61 subscription 4.,False,3
61,25,6,2021-3-6,monthly,1,games,This is a note for user 61 subscription 5.,False,3
61,28,14,2021-11-15,monthly,1,games,This is a note for user 61 subscription 6.,False,5
61,31,13,2021-6-10,monthly,1,books,This is a note for user 61 subscription 7.,False,2
62,1,4,2021-3-7,monthly,1,tv and movies,This is a note for user 62 subscription 1.,False,5
62,4,19,2021-5-10,monthly,1,tv and movies,This is a note for user 62 subscription 2.,False,5
62,37,19,2021-6-24,monthly,1,food,This is a note for user 62 subscription 3.,False,5
62,39,14,2021-7-3,monthly,1,food,This is a note for user 62 subscription 4.,False,4
62,40,12,2021-5-4,monthly,1,food,This is a note for user 62 subscription 5.,False,4
62,16,13,2021-6-14,monthly,1,music,This is a note for user 62 subscription 6.,False,3
62,29,17,2021-9-12,monthly,1,games,This is a note for user 62 subscription 7.,False,3
63,1,16,2021-5-15,monthly,1,tv and movies,This is a note for user 63 subscription 1.,False,4
63,34,19,2021-3-13,monthly,1,books,This is a note for user 63 subscription 2.,False,5
63,3,3,2021-7-17,monthly,1,tv and movies,This is a note for user 63 subscription 3.,False,3
63,39,3,2021-5-28,monthly,1,food,This is a note for user 63 subscription 4.,False,3
63,8,4,2021-2-20,monthly,1,tv and movies,This is a note for user 63 subscription 5.,False,3
63,10,19,2021-5-18,monthly,1,tv and movies,This is a note for user 63 subscription 6.,False,4
63,16,13,2021-9-1,monthly,1,music,This is a note for user 63 subscription 7.,False,1
63,21,14,2021-1-27,monthly,1,games,This is a note for user 63 subscription 8.,False,5
64,5,1,2021-4-18,monthly,1,tv and movies,This is a note for user 64 subscription 1.,False,4
64,13,17,2021-4-3,monthly,1,music,This is a note for user 64 subscription 2.,False,3
64,14,18,2021-8-25,monthly,1,music,This is a note for user 64 subscription 3.,False,5
64,15,7,2021-8-17,monthly,1,music,This is a note for user 64 subscription 4.,False,3
64,17,15,2021-5-24,monthly,1,music,This is a note for user 64 subscription 5.,False,5
64,20,2,2021-5-17,monthly,1,music,This is a note for user 64 subscription 6.,False,3
64,21,19,2021-4-8,monthly,1,games,This is a note for user 64 subscription 7.,False,3
65,32,7,2021-10-25,monthly,1,books,This is a note for user 65 subscription 1.,False,3
65,18,11,2021-11-16,monthly,1,music,This is a note for user 65 subscription 2.,False,5
65,23,14,2021-3-23,monthly,1,games,This is a note for user 65 subscription 3.,False,4
66,33,7,2021-10-8,monthly,1,books,This is a note for user 66 subscription 1.,False,3
66,34,13,2021-10-11,monthly,1,books,This is a note for user 66 subscription 2.,False,4
66,1,13,2021-6-27,monthly,1,tv and movies,This is a note for user 66 subscription 3.,False,5
66,35,2,2021-11-15,monthly,1,books,This is a note for user 66 subscription 4.,False,5
66,6,15,2021-5-16,monthly,1,tv and movies,This is a note for user 66 subscription 5.,False,4
66,40,2,2021-3-15,monthly,1,food,This is a note for user 66 subscription 6.,False,4
66,31,8,2021-7-19,monthly,1,books,This is a note for user 66 subscription 7.,False,1
67,34,2,2021-1-22,monthly,1,books,This is a note for user 67 subscription 1.,False,4
67,38,4,2021-5-8,monthly,1,food,This is a note for user 67 subscription 2.,False,5
67,39,13,2021-3-23,monthly,1,food,This is a note for user 67 subscription 3.,False,5
67,23,17,2021-9-9,monthly,1,games,This is a note for user 67 subscription 4.,False,5
67,30,6,2021-1-16,monthly,1,games,This is a note for user 67 subscription 5.,False,5
68,8,8,2021-12-12,monthly,1,tv and movies,This is a note for user 68 subscription 1.,False,4
68,5,14,2021-9-17,monthly,1,tv and movies,This is a note for user 68 subscription 2.,False,5
